,0,coordinates,latitude,longitude,lat_long,coord_tuple
10,BEDOK NTH AVE 1,"{'address_components': [{'long_name': 'Bedok North Avenue 1', 'short_name': 'Bedok North Ave 1', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok North Ave 1, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3326599, 'lng': 103.9274503}, 'southwest': {'lat': 1.3234318, 'lng': 103.925275}}, 'location': {'lat': 1.3283757, 'lng': 103.9267275}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3326599, 'lng': 103.9277116302915}, 'southwest': {'lat': 1.3234318, 'lng': 103.9250136697085}}}, 'place_id': 'ChIJ1_GKeU092jERUc68P9FQbWQ', 'types': ['route']}",1.3283757,103.9267275,1.3283757%2C103.9267275,"[None, None]"
11,BEDOK NTH RD,"{'address_components': [{'long_name': 'Bedok North Road', 'short_name': 'Bedok North Rd', 'types': ['route']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok North Rd, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3472003, 'lng': 103.9434035}, 'southwest': {'lat': 1.3248118, 'lng': 103.9172992}}, 'location': {'lat': 1.3306806, 'lng': 103.9305125}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3472003, 'lng': 103.9434035}, 'southwest': {'lat': 1.3248118, 'lng': 103.9172992}}}, 'place_id': 'ChIJhzCsgEU92jERfwItPbscalE', 'types': ['route']}",1.3306806,103.9305125,1.3306806%2C103.9305125,"[None, None]"
12,BEDOK STH AVE 1,"{'address_components': [{'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3480498, 'lng': 103.9646009}, 'southwest': {'lat': 1.3018529, 'lng': 103.8961778}}, 'location': {'lat': 1.3236038, 'lng': 103.9273405}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 1.3480498, 'lng': 103.9646009}, 'southwest': {'lat': 1.3018529, 'lng': 103.8961778}}}, 'partial_match': True, 'place_id': 'ChIJpVt39rMi2jERD2-YBlmmdLU', 'types': ['neighborhood', 'political']}",1.3236038,103.9273405,1.3236038%2C103.9273405,"[None, None]"
13,BEDOK RESERVOIR RD,"{'address_components': [{'long_name': 'Bedok Reservoir Road', 'short_name': 'Bedok Reservoir Rd', 'types': ['route']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok Reservoir Rd, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3447398, 'lng': 103.9390524}, 'southwest': {'lat': 1.3285316, 'lng': 103.902799}}, 'location': {'lat': 1.3370403, 'lng': 103.9215479}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3447398, 'lng': 103.9390524}, 'southwest': {'lat': 1.3285316, 'lng': 103.902799}}}, 'place_id': 'ChIJg8f0OFo92jERrcRqjnpwWJU', 'types': ['route']}",1.3370403,103.9215479,1.3370403%2C103.9215479,"[None, None]"
14,CHAI CHEE ST,"{'address_components': [{'long_name': 'Chai Chee Street', 'short_name': 'Chai Chee St', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Chai Chee St, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3296024, 'lng': 103.9274503}, 'southwest': {'lat': 1.3260655, 'lng': 103.9180243}}, 'location': {'lat': 1.328415, 'lng': 103.9226738}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3296024, 'lng': 103.9274503}, 'southwest': {'lat': 1.3260655, 'lng': 103.9180243}}}, 'place_id': 'ChIJka3xBFM92jERnTCiqhRhmFE', 'types': ['route']}",1.328415,103.9226738,1.328415%2C103.9226738,"[None, None]"
15,BEDOK NTH ST 3,"{'address_components': [{'long_name': 'Bedok North Street 3', 'short_name': 'Bedok North Street 3', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok North Street 3, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3342603, 'lng': 103.9325261}, 'southwest': {'lat': 1.3304742, 'lng': 103.9230997}}, 'location': {'lat': 1.3332472, 'lng': 103.9275759}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3342603, 'lng': 103.9325261}, 'southwest': {'lat': 1.3304742, 'lng': 103.9230997}}}, 'place_id': 'ChIJ4fq8s0892jERlzqV-wBYnMI', 'types': ['route']}",1.3332472,103.9275759,1.3332472%2C103.9275759,"[None, None]"
16,BEDOK STH RD,"{'address_components': [{'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3480498, 'lng': 103.9646009}, 'southwest': {'lat': 1.3018529, 'lng': 103.8961778}}, 'location': {'lat': 1.3236038, 'lng': 103.9273405}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 1.3480498, 'lng': 103.9646009}, 'southwest': {'lat': 1.3018529, 'lng': 103.8961778}}}, 'partial_match': True, 'place_id': 'ChIJpVt39rMi2jERD2-YBlmmdLU', 'types': ['neighborhood', 'political']}",1.3236038,103.9273405,1.3236038%2C103.9273405,"[None, None]"
17,CHAI CHEE AVE,"{'address_components': [{'long_name': 'Chai Chee Avenue', 'short_name': 'Chai Chee Ave', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Chai Chee Ave, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3253584, 'lng': 103.9255469}, 'southwest': {'lat': 1.3247601, 'lng': 103.9231904}}, 'location': {'lat': 1.3250333, 'lng': 103.9246368}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.326408230291502, 'lng': 103.9257176302915}, 'southwest': {'lat': 1.323710269708498, 'lng': 103.9230196697085}}}, 'place_id': 'ChIJm0XfPq0i2jERq79WMYM2EAU', 'types': ['route']}",1.3250333,103.9246368,1.3250333%2C103.9246368,"[None, None]"
18,NEW UPP CHANGI RD,"{'address_components': [{'long_name': 'New Upper Changi Road', 'short_name': 'New Upper Changi Rd', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'New Upper Changi Rd, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3294605, 'lng': 103.9506556}, 'southwest': {'lat': 1.3208397, 'lng': 103.9194744}}, 'location': {'lat': 1.3245193, 'lng': 103.9351317}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3294605, 'lng': 103.9506556}, 'southwest': {'lat': 1.3208397, 'lng': 103.9194744}}}, 'partial_match': True, 'place_id': 'ChIJxy5mILUi2jERUgV35rMO9ZQ', 'types': ['route']}",1.3245193,103.9351317,1.3245193%2C103.9351317,"[None, None]"
19,CHAI CHEE DR,"{'address_components': [{'long_name': 'Chai Chee Drive', 'short_name': 'Chai Chee Dr', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Chai Chee Dr, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3272902, 'lng': 103.9201994}, 'southwest': {'lat': 1.321425, 'lng': 103.9180243}}, 'location': {'lat': 1.3240385, 'lng': 103.9191563}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3272902, 'lng': 103.9204608302915}, 'southwest': {'lat': 1.321425, 'lng': 103.9177628697085}}}, 'place_id': 'ChIJZfUlcqsi2jERgYTVjjmLUlk', 'types': ['route']}",1.3240385,103.9191563,1.3240385%2C103.9191563,"[None, None]"
20,BEDOK STH AVE 2,"{'address_components': [{'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3480498, 'lng': 103.9646009}, 'southwest': {'lat': 1.3018529, 'lng': 103.8961778}}, 'location': {'lat': 1.3236038, 'lng': 103.9273405}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 1.3480498, 'lng': 103.9646009}, 'southwest': {'lat': 1.3018529, 'lng': 103.8961778}}}, 'partial_match': True, 'place_id': 'ChIJpVt39rMi2jERD2-YBlmmdLU', 'types': ['neighborhood', 'political']}",1.3236038,103.9273405,1.3236038%2C103.9273405,"[None, None]"
21,BEDOK NTH AVE 3,"{'address_components': [{'long_name': 'Bedok North Avenue 3', 'short_name': 'Bedok North Ave 3', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok North Ave 3, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3380341, 'lng': 103.9361518}, 'southwest': {'lat': 1.3245545, 'lng': 103.931801}}, 'location': {'lat': 1.3313227, 'lng': 103.9343452}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3380341, 'lng': 103.9361518}, 'southwest': {'lat': 1.3245545, 'lng': 103.931801}}}, 'place_id': 'ChIJi0cLekk92jERMbNXfl9pRpc', 'types': ['route']}",1.3313227,103.9343452,1.3313227%2C103.9343452,"[None, None]"
22,BEDOK RESERVOIR VIEW,"{'address_components': [{'long_name': 'Bedok Reservoir View', 'short_name': 'Bedok Reservoir View', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok Reservoir View, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3386111, 'lng': 103.939415}, 'southwest': {'lat': 1.3350797, 'lng': 103.9332512}}, 'location': {'lat': 1.3368264, 'lng': 103.936717}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3386111, 'lng': 103.939415}, 'southwest': {'lat': 1.3350797, 'lng': 103.9332512}}}, 'place_id': 'ChIJR85Eqkc92jEREPKdaPOlDjc', 'types': ['route']}",1.3368264,103.936717,1.3368264%2C103.936717,"[None, None]"
23,CHAI CHEE RD,"{'address_components': [{'long_name': 'Chai Chee Road', 'short_name': 'Chai Chee Rd', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Chai Chee Rd, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3281328, 'lng': 103.9249125}, 'southwest': {'lat': 1.3225768, 'lng': 103.9223747}}, 'location': {'lat': 1.3256121, 'lng': 103.9232718}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3281328, 'lng': 103.9249925802915}, 'southwest': {'lat': 1.3225768, 'lng': 103.9222946197085}}}, 'place_id': 'ChIJwU7bHa0i2jERCA5aW-C8ZPM', 'types': ['route']}",1.3256121,103.9232718,1.3256121%2C103.9232718,"[None, None]"
24,LENGKONG TIGA,"{'address_components': [{'long_name': 'Lengkong Tiga', 'short_name': 'Lengkong Tiga', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Lengkong Tiga, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3268181, 'lng': 103.913674}, 'southwest': {'lat': 1.3223484, 'lng': 103.9096864}}, 'location': {'lat': 1.3243821, 'lng': 103.91147}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3268181, 'lng': 103.913674}, 'southwest': {'lat': 1.3223484, 'lng': 103.9096864}}}, 'place_id': 'ChIJRYc2OAAY2jERrRXdb9XtzDk', 'types': ['route']}",1.3243821,103.91147,1.3243821%2C103.91147,"[None, None]"
25,BEDOK CTRL,"{'address_components': [{'long_name': 'Bedok Central', 'short_name': 'Bedok Central', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Bedok Central, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3266258, 'lng': 103.9354267}, 'southwest': {'lat': 1.3242785, 'lng': 103.9314384}}, 'location': {'lat': 1.3257572, 'lng': 103.9335975}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.326801130291502, 'lng': 103.9354267}, 'southwest': {'lat': 1.324103169708498, 'lng': 103.9314384}}}, 'place_id': 'ChIJ8wcZxrQi2jERvpQM_2Wz0O4', 'types': ['route']}",1.3257572,103.9335975,1.3257572%2C103.9335975,"[None, None]"
26,JLN DAMAI,"{'address_components': [{'long_name': 'Jalan Damai', 'short_name': 'Jln Damai', 'types': ['route']}, {'long_name': 'Bedok', 'short_name': 'Bedok', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}], 'formatted_address': 'Jln Damai, Singapore', 'geometry': {'bounds': {'northeast': {'lat': 1.3352451, 'lng': 103.9096864}, 'southwest': {'lat': 1.3316568, 'lng': 103.9089614}}, 'location': {'lat': 1.3334879, 'lng': 103.9094395}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 1.3352451, 'lng': 103.9106728802915}, 'southwest': {'lat': 1.3316568, 'lng': 103.9079749197085}}}, 'place_id': 'ChIJZaAbhvwX2jERXrpnNdVzx-Y', 'types': ['route']}",1.3334879,103.9094395,1.3334879%2C103.9094395,"[None, None]"
